,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
21,mdj_Moose,"Art, Gaming, Anime, Politics. Occasional nsfw",,224,29,29373,88,"i love doing ""liberal gatekeeping"" which is to try and stop more vaccine misinformation from spreading at a time when ICUs are filling up with people who refuse to take a safe and free vaccine. also, yes tucker carlson is a white nationalist. https://t.co/lFFuWBhOKL",[]
22,enbyhun,18 . . . They Them . . . ★,,395,2049,75283,11912,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the last 2 days. Be careful out there.,[]
23,ahoeforexo,#세훈: life is a strange thing || nine or none || 16 || she/her || 🇵🇭,EXO Planet,1312,1311,5487,0,good thing Sehunnies got his vaccine already stay safe always Sehunnie! https://t.co/lge3WK1lDW,[]
24,planetpeachpit,belle. average enjoyer of midwest emo. professional simp. 19. personal account: @belle4evr,she/her,884,926,44512,88,"i love doing ""liberal gatekeeping"" which is to try and stop more vaccine misinformation from spreading at a time when ICUs are filling up with people who refuse to take a safe and free vaccine. also, yes tucker carlson is a white nationalist. https://t.co/lFFuWBhOKL",[]
25,Wandacalabrese1,proud boomer survived the 60 twice. Love this country and want to see it survive Trump. We must unite against the GOP. Vote blue. resist.,"New York, USA",2640,1948,187729,1063,"At least seven conservative radio hosts and high-profile anti-mask and anti-vaccine advocates have died from COVID-19 in recent weeks:

Dick Farrel
Phil Valentine
Marc Bernier
Robert David Steele
Caleb Wallace
Pressley Stutts 
Bob Enyart

Please let me know if I missed anyone.",[]
26,EEXOO12YSLV,"❤🍒EXO-SC🐥❤&
💗🐥OH SEHUN🐥💗
 #KAIHUN🐻🐥❤#allhun",,415,72,243023,302,"210916 #세훈 #SEHUN #엑소세훈 💌
🐥 People who are working, people who are studying
🐥It's going to be lunchtime soon
🐥Yesterday I took my vaccine and was resting 
🐥Arm hurts [T/N: slight aegyo here], no fever

#EXO #엑소 @weareoneEXO","['세훈', 'SEHUN', '엑소세훈']"
27,justbmix,,,0,9,3408,0,"@RealCandaceO Ok, @RealCandace, you can do it for @Nickiminaj.
Tell people to listen to their doctor or follow the CDC guidance.
No one should listen to you or her, or Tucker or anyone of Fox, Newsmax, OANN, Breitbart etc for advice on a vaccine.",[]
28,PawsDragon,"Smug: minimalist: former military. “A Republic, if you can keep it.” Live free. Happiness is living your life with the realization that you need no one.","Texas, USA",799,593,38953,0,@orneryostrich1 ...vaccinated people because (in their own words) “Vaccinated people are not producing antibodies against COVID. The vaccine is obstructing antibody development.”.,[]
29,LaurenEdie,Mother/Baby Travel Nurse,,372,157,7078,1162,"The vaccine requirements under my COVID plan will cover one hundred million workers. Today, I met with businesses that are leading the way. Because vaccine requirements keep businesses open and workers safe. https://t.co/zx1J2oOOPx",[]
30,brbiezs,not one bitch can be my opp that shit offends me🧚‍♀️💋 .,with asian and nicki ofc❕💕 .,346,346,13907,12,"“I’d definitely recommend they get the vaccine, I’d b vaccinated too because I have to go on tour” but they ignore this.",[]
31,sayowaki,i love you.,,3,0,1,0,"@NICKIMINAJ nicki i’m so sorry for everything going on i fr love you and you don’t need to get the vaccine if you don’t want to, barbs are here for you no matter what. we will support u no matter what nicki!!! barbs that will leave the fandom due to you being cautious is so toxic https://t.co/YWEICEY5kI",[]
32,ChefJTaylor,Sports Cards and Memorabilia,"Dallas, TX",360,592,37668,0,I hope anyone who has questions about the vaccine is going to their primary care physician and not Nicki Minaj. Good Lord😂😂😂,[]
33,ferndogg59,,,1037,483,55044,113,Who had Nicki Minaj gets put in Twitter jail for spreading vaccine disinformation on their COVID-19 bingo card?,[]
34,lLandoftheFree,"Previous believed Republicans - No More, likes Classic cars, Blues/Jazz, Rock’n Roll, books, ocean, animals and stands against injustice.",,135,123,9295,85,"The White House hasn’t ruled it out, but they haven’t embraced it either. Ray LaHood says it’s time to go down that route.

via @natashakorecki, me &amp; @Hailey_Fuchs  

https://t.co/CGm7e1ivlq",[]
35,FranP20,"#resist Psychologist, Master Gardener, Proud Parent, Agility Competitor, Resister, pro democracy",,1520,1491,88738,737,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
36,gstew_twit,,"Los Angeles, CA",521,151,12131,580,"If you threatening to quit the military over a mandate for a life saving vaccine during a pandemic, what does it say about your commitment to our country and your patriotism?",[]
37,Marlisehome2,"Mom, wife, concerned US citizen.  Retweets are posts that IMO people should read.",,571,210,51471,737,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
38,miguelguda01,"“True confidence leaves no room for jealousy. When you know you are great, you have no need to hate.”","Queens, NY",71,95,10343,0,SO INAANO NYO SI NICKI? SHE DIDNT SAY ANYTHING BAD ABOUT THE Vaccine,[]
39,AllHail_India,,,178,165,14439,11912,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the last 2 days. Be careful out there.,[]
40,brie_541,24 ∙ mom ∙ baby witch • 💜🖤🤍💛,"Bend, Oregon",778,126,25894,88,"i love doing ""liberal gatekeeping"" which is to try and stop more vaccine misinformation from spreading at a time when ICUs are filling up with people who refuse to take a safe and free vaccine. also, yes tucker carlson is a white nationalist. https://t.co/lFFuWBhOKL",[]
41,Wesley31150413,,,194,12,167,1144,"Just FYI, here is where Sweden ranks among the top 40 countries in COVID mortality rate despite no masks and no strict lockdowns or vaccine mandates

It’s an impressive triumph of media gaslighting that essentially no one is aware of this https://t.co/aOvw07EMbX",[]
42,MunnsLanden,,,43,1,130,737,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
43,Catheri68372759,Scottish. Pro Scottish independence and United Ireland ☘️,"Scotland, United Kingdom",1407,744,955,3364,"Anti-vaccine activist who said ""there's no epidemic"" dies of COVID - Newsweek https://t.co/SvgSwLPykS",[]
44,vminkai,#종니: you’re the only one to make me do it like this | military wife | ao3@daisukis,24 • ♋🔞 • she/her • 수고했어요.🥀,807,389,141661,11,Sehun got his vaccine yesterday 🥰🥰,[]
45,KBarleycorn,No thoughts just vibes,Somewhere,143,36,186,11912,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the last 2 days. Be careful out there.,[]
46,IamDallasLyn,"#Resist #Queer #LGBTQIA #Art: @ArtsPouts
You support Trump? Your opinion is irrelevant!
""Empathy is the most radical of human emotions"" Steinem
*NO/DMs",,4999,3583,60905,10,"In the 1970s, there were tens of thousands of cases of measles. By 2005, after the measles vaccine became mandatory, there were 66. Vaccine mandates work. https://t.co/BkHBoc3J2H",[]
47,JoshShaffer2030,"Writer. Filmmaker. RN. Can impersonate 60+ characters. 
Awesome cartoon in production. 
Yankees. MMA. Fishing. Cooking.
Per diem superhero.","Port Washington, NY",3430,594,10600,0,"@collier_karl @kaathyd @naomimath I'm glad your brother survived, but your viewpoint on covid vaccine is ridiculous. 

Everyone from members of the military to schoolchildren have been required to get vaccinated. 

You're falling for fear-mongerimg nonsense.",[]
48,DisLoyalBot,"#BLACKLIVESMATTER Liberal to the bone. Love my neighbor as I love myself. Plus, it takes a village to build anything,  #RESIST #BlueWave 🌊🌊🌊","Pacific NW, USA",4137,3296,117989,187,"At this rate, Nicki Minaj is on track to become the 2024 Republican Presidential nominee…

✅ Defends rapists
✅ Spreads vaccine disinfo
✅ Lies about social media ""censorship""",[]
49,1206_nj,National Suicide Prevention Lifeline 800-273-8255.,New Jersey,1047,1278,12683,948,Why are commercials pushing the vaccine not required to list all possible side effects like every other drug commercial?,[]
50,spencer_Jamez,Vaccine mandates are a performative policy,,3295,1437,71628,0,@DubsAces @OccupyDemocrats Is there a vaccine policy in the lease?,[]
51,MeSmashj,"Have eyes, ears and brains and not afraid to use ‘em - Will fight for equity, equality, love, peace... and fries. All. The. Fries.","Columbus, Ohio ",320,181,20826,182,".@AriMelber: As Fox News voices blast President Biden for his vaccine mandate, a newly-revealed internal memo shows Fox Corporation's vaccine policy is stricter than Biden’s. 
https://t.co/mxAn4cJDWk",[]
52,wallin1973,Watauga County Commissioner,"Boone, NC",515,353,13872,1,"https://t.co/usFHrSoFZe
No appointment needed, walk-ups allowed. Vaccine is free everyone 12 and up.  Yankee Line covid bus will be parked at the Watauga Community Recreation Center parking lot 231 Complex Dr Boone 9/16 - 9/24, 8 am - 7 pm daily.  Info AppHealthCare 828.264.4995.",[]
53,VanityHirai,the reincarnation of vanityhooker• multi-fandom FAN ACCOUNT • was @ndrewvanity STAN #TWICE #FREEBRITNEY • not affiliated with any celebrity,"It’s Britney, BITCH!",134,176,7082,163,"Trinidadian officials spent all day, but couldn't find any reports that someone ""became impotent"" and that ""his testicle became swollen"" due to the COVID vaccine, contrary to Nicki Minaj's claims https://t.co/WVS9IA74e7",[]
54,ArrrghM3,"Our tech overlords love us. They know what is best for us. We give thanks, for they are righteous and just. We rejoice in their works forever. Amen","Dallas, TX",1762,305,26529,606,The entire lockdown crisis is predicated on the Cathedral pretending that displaying a vaccine passport is equivalent to displaying a negative test result.,[]
55,SilverL42851947,Let’s fight for the truth.,,231,159,25895,312,"Well I just got fired from my company for “being a violent threat.”

I never called for violence or incited it at all. We all know they fired me because of my politics and my opposition to the vaccine mandates.",[]
56,RobertKYarbro,"“Let me have my own way in exactly everything and a sunnier and pleasanter creature does not exist.”
― Thomas Carlyle",,756,460,115625,832,"“When you come to my ICU, I treat you the same. We do what we can to serve and get you through your illness. To think that we would do anything less because of your vaccine status is atrocious.” @kwadwo777 https://t.co/QWxiFux5fX",[]
57,woojinayeochin,multi (10+ grps ganern) / 🛒: @fromtetski,🇵🇭 / ‘96,898,360,14464,0,Sehun says get ur vaccine yall https://t.co/GVH4anUUIk,[]
58,JenKossmann,,"Sacramento, CA",1013,164,28570,2805,Please stop saying the vaccine doesn't have severe side effects. I took my shots and now I'm alive and have to keep working,[]
59,RogueRiverSun,,,988,147,115129,1063,"At least seven conservative radio hosts and high-profile anti-mask and anti-vaccine advocates have died from COVID-19 in recent weeks:

Dick Farrel
Phil Valentine
Marc Bernier
Robert David Steele
Caleb Wallace
Pressley Stutts 
Bob Enyart

Please let me know if I missed anyone.",[]
60,smax3,Lions don't lose sleep over the opinions of sheep.,United States,1155,533,10725,567,"Tucker Carlson's Opening Segment About @NICKIMINAJ Being Censored For Asking Questions About The Vaccine

""If you allow people to force you to take drugs you don't want, you're done. They own you. You're no longer free."" #FreeNicki https://t.co/AlzONkJJXN",[]
61,TheInvisibleHnd,Lover of liberty and free markets. Hater of MSM. #gold #silver $btc $eth #carnivore #VotePPC,The Peoples Republic of Canada,971,399,7949,1376,"SHOCKING: New Zealand reported 27 total deaths “with” COVID-19 &amp; 40 deaths possibly related to the Pfizer vaccine since 2020

This week they reported 0 C19 deaths &amp; 3 deaths possibly related to the vaccine 

Making the vaccine more deadly in theory to NZ’ers than the actual virus https://t.co/Om3OrVe7cs",[]
62,AskDrShashank,"Chair IDF Southeast Asia,https://t.co/Cp12WSEbP9,
Past Dean Indian College of Physicians 
Views my own ,RTs not endorsements",Mumbai,1600,13606,44475,127,Pope puzzled about vaccine hesitancy in the Church https://t.co/QhXwVmA3Qs,[]
63,Kimberlake6,Flccc.believer.Ivr works.Member of the Choctaw Nation. ❣ dogs/camping/supercross/hotrods/engines/tires. Prolific student of law & history.,,723,608,18950,42,Jack Dorsey’s company put Nicki Minaj in Twitter jail for having independent views on vaccine?! How is this not white supremacy?! https://t.co/Q27B0se5DE,[]
64,Sheri1606,"Passionate/determined, steadfast, feminist, coll edu, Mom,Biz founder, LLB, Cert Exec Negotiator,visionary, biz dev, risk mngt, gov contr., Dem, UCC, local gov.","Hendersonville, NC",353,445,90256,0,Pope Francis Tells Vaccine Skeptics to Stop Being Idiots and Get Their Shots https://t.co/KcQeb0gNAJ,[]
65,NeeyYeen_s,"| EXO 💞(( PCY~BBH~OSH ))💞 EXO-L |
@weareoneEXO",thailand,233,6,60234,263,"210916 sehun 🧼💌

“those people who are working (and) those people who are studying”
“it’ll be lunch time soon”
“i took the vaccine yesterday so i was resting”
“(cutely) my arm is aching but i don’t have a fever”",[]
66,aliciamarieab,treat people with kindness,she/her,141,150,4907,8822,i got the vaccine the minute i was allowed i would never “””do my own research” i failed 11th grade biology 3 times,[]
67,callmeadamz,"🎓 Industrial Engineering UPNVYK
📷 Street Photograph
🎬 Videograph
📽️ Digital Creator
🤙 Bakul #Bitcoin",Worldwide,262,631,3312,466,"If Dutch government would allow serologic antibody tests to prove previous infection (currently they do not), 95% would be immune instead of just 75% (vaccine).
Thus no need for vaccine passports, no medical discrimination of ""unvaccinated"".
Simple solution: allow antibody tests! https://t.co/vZ1kv4kJCv",[]
68,4annegs,"Christian Conservative
Wife of @jcs921
GET Armed,
STAY Armed
GAB/PARLER @4annegs","North Myrtle Beach, SC USA",16044,17763,463760,3028,"""Then we told them the vaccine isn't mandatory, but that you won't be able to get a job, use the subway, travel abroad, have a social life, see your loved ones, start a business, open a bank account or buy food without it."" https://t.co/hhOOIeu1Fn",[]
69,kuroy301,Just Wondering😉,"Elk Grove, CA",1068,203,9838,4676,"Congratulations Governor @GavinNewsom on defeating the recall. This vote is a resounding win for the approach that he and I share to beating the pandemic: strong vaccine requirements, steps to reopen schools safely, and plans to help those who get sick.",[]
70,Joon1193,"here for 💜ᗷTS⟭⟬💜 
Quarantine Army (April 2020) 
Ot7 but RM biased  💜 
no minors 🔞 
she/her",,78,18,472,0,"Perhaps y'all got too much freedom. An artist talking about doing her own research on a vaccine that scientists with years of experience worked on. 
And all because of a cousin's friend chlamidya?",[]
71,xayma,"Person, not a squirrel unfortunately. He/him. Screwed up by Australian kids tv. All my bad opinions are my own, I don't think I have any good ones.","DC, ex: GVA, SYD, ABX",175,372,26352,4026,"But seriously, why are we debating whether Biden's vaccine mandates are constitutional? All he has to do is enforce them using private citizen vigilantes who get a bounty for turning in the unvaxxed &amp; according to SCOTUS, the courts' hands are tied. https://t.co/rRw15TohcX",[]
72,duke_dirtfarmer,"A simple dirt farmer from Tatooine

Member of the Church of Zack Morris

Don't listen to anything I say. I have no idea what I'm doing",,97,31,1407,737,BREAKING NEWS: Twitter suspends Nicki Minaj‘s account for tweeting dangerous vaccine misinformation about “swollen testicles” to her legions of followers. RT IF YOU AGREE WITH TWITTER’S DECISION!,[]
73,hunterhouse06,Financial Analyst • Indiana University alumna,bloomington,241,774,5854,1898,your science teacher was handing back your tests face down but you wanna do your own research on the vaccine 🤨,[]
74,araminta540,due to personal reasons i would like to not be perceived in any way at all // she/her// 20,Polska,238,135,43650,11912,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the last 2 days. Be careful out there.,[]
75,xerinmartinx,be good little souls,she/her,593,655,32524,1222,When people are like aren’t u worried the vaccine will make u infertile it’s like no I’d personally consider that a 2 for 1 deal,[]
76,Tired13492129,my pal the tortoise how fast does he go/oh man he goes like crazy,,121,50,9416,1144,"Just FYI, here is where Sweden ranks among the top 40 countries in COVID mortality rate despite no masks and no strict lockdowns or vaccine mandates

It’s an impressive triumph of media gaslighting that essentially no one is aware of this https://t.co/aOvw07EMbX",[]
77,mylovetaj,,,549,1396,86944,0,I just decide to stay out the vaccine conversations cause people are so brainwashed it’s already too late,[]
78,mikehunt270,my name isn’t really Mike Hunt,"Buffalo, NY",351,26,3297,0,"@TonyPanacci @UncoolGuy @JeremyBearimy21 @BuckSexton He is not urging followers to fight vaccine mandates. He does not tell people to not get vaccinated. He talked for several weeks on C&amp;B Show about how he’s not going to miss his brother’s wedding. So he eventually got the shot. There is no lie here. 

No it’s just a joke name",[]
79,BillRob06744883,Artist/Wife/Mother-she/her-I swear a lot! I’m a born & raised Albertan & now some asshole from Ontario is making me want to move away.,"Alberta, Canada",275,228,6867,33,Jason Kenney and Tyler Shandro calling a vaccine passport/proof of vaccination a “restriction exemption system” is like calling my driver’s license a “bus riding exemption system.”,[]
80,Angela83497732,,,1432,155,36473,3364,"Anti-vaccine activist who said ""there's no epidemic"" dies of COVID - Newsweek https://t.co/SvgSwLPykS",[]
81,JovonnieB,| 🇦🇮🇯🇲|📍NYC,"New York, NY",830,1785,105591,250,"A source tells CNN that Nicki Minaj was not invited to the White House to discuss her concerns over the COVID-19 vaccine.

Instead, she was offered a phone call with one of their doctors to answer questions she has about the safety and effectiveness of the vaccine. https://t.co/paBQYsetSF",[]
82,shelbyyamelia,,,576,391,11278,1898,your science teacher was handing back your tests face down but you wanna do your own research on the vaccine 🤨,[]
83,gambiit88,"'it's tricky when you'd rather rot into the soil as a nutrient than navigate this mortal coil in human skin, dig?'
-- Aesop Rock --
☭ Fuck capitalism ☭","Vancouver, British Columbia",1838,550,13922,0,"@GoodPoliticGuy I'm pro vaccine, but what the fuck.. I hate landlords so much, and that housing is a commodity..",[]
84,nanci1028,"I am more dangerous than a ‘woke’ person I am AWAKE! Wife, mother, grandmother from SS Chicago, 🛑No DMS. Love my husband, kids & grandkids #BlueLivesMatter",USA 🇱🇷,4991,0,37198,0,"WWWHHHAAATTT?  And FDA says it is safe to take? But not from last years batch?  Alright 🤡Moderna analysis: Those vaccinated last year twice more likely to contract COVID-19

https://t.co/jih2RjNRH7",[]
85,mumsymony,,"Edmonton, Alberta",100,8,270,0,"@herbert24466251 @CBCCalgary Absolutely, they are abhorrent. The Jewish people were sent to gas chambers. These people are asked to wear a frickin’ mask and get a vaccine. How is it possible that they dare to equate this to what the nazis did for hatred of a group of people.",[]
86,Katrinaisqueen2,"19 🇭🇹, Barb life 🦄 GOD IS FIRST 🙏🏽 Don’t play with Nicki, you will get dragged 💯💯 I STAN NICKI ONLY FUCK THEM OTHER BITCHES 😘‼️🤷🏽‍♀️",,190,154,4011,12,"“I’d definitely recommend they get the vaccine, I’d b vaccinated too because I have to go on tour” but they ignore this.",[]
87,gramfor7,,"Calgary, Alberta",73,20,149,0,I’m training my brain to use “vaccine passport program” wherever “Restriction Exemption Program” was used. It’s making it easier to understand it all.,[]
88,Sonialaishram21,"I'll search the universe ,, until I find you 💕

@weareoneEXO
 #EXOL",India. 🇮🇳,570,528,4290,263,"210916 sehun 🧼💌

“those people who are working (and) those people who are studying”
“it’ll be lunch time soon”
“i took the vaccine yesterday so i was resting”
“(cutely) my arm is aching but i don’t have a fever”",[]
89,doanutcare,25 | Procrastinating through life,She/her,92,82,12410,2805,Please stop saying the vaccine doesn't have severe side effects. I took my shots and now I'm alive and have to keep working,[]
90,testabc458,,,367,66,6025,291,"Can we stop saying the vaccine rollout was ‘incredibly successful.’ 

It’s not changed a bloody thing.",[]
91,tarafans9,,,204,32,18275,673,"*Wheein laughs and leans in to Solar*

🐰: Vaccine, vaccine~ https://t.co/Em18iPzIiJ",[]
92,MexUSAInmigrant,👨‍⚖️We are Immigration Lawyers who really take care of your case. We perfectly understand what is at stake for you. We are licensed in Mexico-Canada-USA 🇲🇽🇨🇦🇺🇸,"Laredo, TX",70,125,14599,0,"Nicki Minaj caused quite a stir on Twitter this week after urging people to “pray on it” and not let people bully you into getting a vaccine if it is not right for you.
Minaj Was Locked Out of Twitter Shortly After Sharing Tucker Carlson Clip. https://t.co/4rP4h43CPg",[]
93,ScottysParadigm,"Once the, nearly sacred, underpinnings of democracy are undermined and compromised democracy, itself, became  its fatal flaw.",Usually found near water.,651,516,25359,4,"If all children could get the vaccine 

&amp; ppl w. Covid weren't filling up ICUs preventing others from getting care

&amp; this virus couldn't mutate into vax-resistant variants

NO ONE would care if you got vaccinated.

It's not about you 

It's about everyone else your decision fxs",[]
94,debbi0629,,,145,8,351,3244,BREAKING: A new poll shows that a majority of Americans support vaccine requirements for airline passengers to fly and for sports fans to enter arenas. RT IF YOU’RE ONE OF THOSE AMERICANS!,[]
95,oriononearth,Pizza lover,"Toronto, Ontario",64,4,416,64,"Alberta's unelected health bureaucrat, Deena Hinshaw, just said that people who are fully vaccinated are getting sick and dying.

So naturally, her recommendation is that people just take more vaccine shots.

Is she a Pfizer salesmen? Or just a control freak?",[]
96,timeturner1991,18+,,145,1,1252,11912,A warning to others: I got the vaccine and now my boobs are so large and luscious I’ve received 13 marriage proposals in the last 2 days. Be careful out there.,[]
97,jongfinity,"ㅁㅈㅇㅂㅈㅊㄱㅈㅅ 👉♥️ || 180707 — e)(o @weareoneEXO ---- part-time: 즈니, 타지, 로하",L-1485 💓,220,107,166692,263,"210916 sehun 🧼💌

“those people who are working (and) those people who are studying”
“it’ll be lunch time soon”
“i took the vaccine yesterday so i was resting”
“(cutely) my arm is aching but i don’t have a fever”",[]
98,boricuateach,,Philly,4999,934,14278,11,"In the 1970s, there were tens of thousands of cases of measles. By 2005, after the measles vaccine became mandatory, there were 66. Vaccine mandates work. https://t.co/BkHBoc3J2H",[]
99,LeighJo46,#Resist,,4335,2701,81496,4676,"Congratulations Governor @GavinNewsom on defeating the recall. This vote is a resounding win for the approach that he and I share to beating the pandemic: strong vaccine requirements, steps to reopen schools safely, and plans to help those who get sick.",[]
100,melissacain1,"Jobs fill your pocket, but adventures fill your soul.    WEAR A MASK 😷","New York, NY",1319,641,24657,0,Is anyone keeping track of all anti-vaccine deaths? https://t.co/J605MipD8X,[]
101,x__sabrinaa,virgo ☼ aquarius ☽ virgo ↑,California,246,461,56670,8822,i got the vaccine the minute i was allowed i would never “””do my own research” i failed 11th grade biology 3 times,[]
102,luigiverse,Mummy said ize a man to put in house ✨🇹🇹 | @webethefun •,🇹🇹,940,1651,48734,241,‘We wasted so much time yesterday running down this false claim’ — Trinidad and Tobago health officials responded to Nicki Minaj’s tweet about her cousin’s friend getting ‘swollen testicles’ after receiving the COVID-19 vaccine https://t.co/3KOs4kqOMx,[]
